Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
102,8.0250,8.3125,-1.426349,8.0250,2.50
103,7.2875,8.3125,-1.250091,7.2875,5.00
104,7.3250,8.3125,-1.651687,7.3250,2.50
105,8.8000,8.8000,-1.308145,8.8000,2.50
106,6.7125,8.8000,-1.412451,6.7125,5.00
107,7.3750,8.8000,-1.255099,7.3750,5.00
108,7.4875,8.8000,-1.349745,7.4875,2.50
109,7.4875,8.8000,-1.265097,7.4875,7.50
110,6.9750,8.8000,-1.462873,6.9750,2.50
111,6.7625,8.8000,-1.318247,6.7625,7.50
112,7.2625,8.8000,-1.392767,7.2625,12.50
113,7.4125,8.8000,-1.259516,7.4125,2.50
114,7.0000,8.8000,-1.636334,7.0000,0.00
115,7.2375,8.8000,-1.483283,7.2375,7.50
116,8.2875,8.8000,-1.646194,8.2875,2.50
117,6.9250,8.8000,-1.129206,6.9250,17.50
118,7.9000,8.8000,-1.644213,7.9000,2.50
119,8.0875,8.8000,-1.302867,8.0875,2.50
120,7.6375,8.8000,-1.347216,7.6375,5.00
121,7.0250,8.8000,-1.413374,7.0250,12.50
122,6.8875,8.8000,-1.681859,6.8875,12.50
123,7.8125,8.8000,-1.379428,7.8125,7.50
124,7.6625,8.8000,-1.400216,7.6625,5.00
125,8.0000,8.8000,-1.741705,8.0000,7.50
126,7.4375,8.8000,-1.258928,7.4375,7.50
127,7.0875,8.8000,-1.556316,7.0875,2.50
128,6.9250,8.8000,-1.619279,6.9250,12.50
129,7.6375,8.8000,-1.620736,7.6375,7.50
130,8.0500,8.8000,-1.505212,8.0500,5.00
131,7.9250,8.8000,-1.691141,7.9250,5.00
132,8.4000,8.8000,-1.757218,8.4000,5.00
133,7.4875,8.8000,-1.657549,7.4875,12.50
134,8.2375,8.8000,-1.782454,8.2375,2.50
135,7.8625,8.8000,-1.456045,7.8625,7.50
136,7.6625,8.8000,-1.902207,7.6625,2.50
137,7.5250,8.8000,-1.812946,7.5250,0.00
138,6.9625,8.8000,-1.698644,6.9625,12.50
139,7.5875,8.8000,-1.516321,7.5875,7.50
140,7.3125,8.8000,-1.853521,7.3125,5.00
141,7.9125,8.8000,-1.751728,7.9125,7.50
142,7.5875,8.8000,-1.762303,7.5875,7.50
143,8.4625,8.8000,-1.975863,8.4625,0.00
144,7.3500,8.8000,-1.848816,7.3500,5.00
145,8.0750,8.8000,-1.994692,8.0750,2.50
146,7.8750,8.8000,-1.321376,7.8750,10.00
147,7.7125,8.8000,-1.906841,7.7125,10.00
148,7.8625,8.8000,-1.766237,7.8625,7.50
149,8.3625,8.8000,-1.558629,8.3625,7.50
150,7.8500,8.8000,-1.685094,7.8500,2.50
151,7.9750,8.8000,-1.687677,7.9750,5.00
152,8.1375,8.8000,-1.273576,8.1375,5.00
153,8.3125,8.8000,-1.492790,8.3125,10.00
154,7.8125,8.8000,-1.707514,7.8125,7.50
155,8.2125,8.8000,-1.513150,8.2125,2.50
156,7.8625,8.8000,-1.573739,7.8625,5.00
157,8.0625,8.8000,-1.610752,8.0625,7.50
158,8.1250,8.8000,-1.372631,8.1250,5.00
159,8.0000,8.8000,-1.543752,8.0000,2.50
160,7.8750,8.8000,-1.494557,7.8750,5.00
161,7.9875,8.8000,-1.594435,7.9875,10.00
