Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
103,6.1000,7.4875,0.632857,4.8500,2.50
104,7.3625,7.4875,0.210246,6.1125,2.50
105,7.1875,7.4875,0.982696,7.1875,0.00
106,5.3750,7.4875,-0.456893,4.1250,2.50
107,6.0875,7.4875,-0.045563,4.8375,2.50
108,6.1875,7.4875,0.315949,6.1875,0.00
109,6.1500,7.4875,0.259155,6.1500,0.00
110,6.4250,7.4875,1.073332,3.9250,5.00
111,6.2875,7.4875,0.314649,5.0375,2.50
112,5.7500,7.4875,0.331200,3.2500,5.00
113,5.8875,7.4875,-0.249048,4.6375,2.50
114,6.6500,7.4875,0.307425,6.6500,0.00
115,6.2750,7.4875,-0.409622,3.7750,5.00
116,6.9625,7.4875,1.126330,5.7125,2.50
117,6.4875,7.4875,0.520666,5.2375,2.50
118,6.5375,7.4875,0.828183,2.7875,7.50
119,5.2750,7.4875,-0.445392,1.5250,7.50
120,5.7125,7.4875,0.236691,3.2125,5.00
121,6.0750,7.4875,0.631032,4.8250,2.50
122,6.4375,7.4875,0.715563,5.1875,2.50
123,6.4875,7.4875,0.005847,5.2375,2.50
124,6.0625,7.4875,-0.096453,6.0625,0.00
125,5.9000,7.4875,0.029326,4.6500,2.50
126,5.4250,7.4875,0.019709,4.1750,2.50
127,5.0750,7.4875,-0.142722,1.3250,7.50
128,4.8375,7.4875,-0.148750,1.0875,7.50
129,5.8500,7.4875,0.315934,0.8500,10.00
130,5.8250,7.4875,-0.324500,3.3250,5.00
131,6.6625,7.4875,0.007588,1.6625,10.00
132,6.2250,7.4875,0.217528,2.4750,7.50
133,6.8500,7.4875,0.780136,5.6000,2.50
134,6.0000,7.4875,-0.077194,3.5000,5.00
135,6.6375,7.4875,-0.038895,5.3875,2.50
136,6.6625,7.4875,1.078772,5.4125,2.50
137,7.2500,7.4875,-0.187000,4.7500,5.00
138,6.1125,7.4875,0.537205,3.6125,5.00
139,6.3250,7.4875,0.374634,6.3250,0.00
140,6.5125,7.4875,0.957158,4.0125,5.00
141,5.9000,7.4875,0.824887,2.1500,7.50
142,7.3750,7.4875,0.598003,6.1250,2.50
143,6.0625,7.4875,1.337551,3.5625,5.00
144,6.6625,7.4875,0.697361,0.4125,12.50
145,6.3750,7.4875,0.720496,5.1250,2.50
146,6.3625,7.4875,-0.338930,2.6125,7.50
147,6.5250,7.4875,0.216236,4.0250,5.00
148,7.1000,7.4875,0.688120,7.1000,0.00
149,6.4125,7.4875,0.538913,5.1625,2.50
150,6.4625,7.4875,0.390819,3.9625,5.00
151,6.2875,7.4875,-0.148112,5.0375,2.50
152,6.4875,7.4875,1.088072,6.4875,0.00
153,6.3000,7.4875,0.742700,3.8000,5.00
154,5.8125,7.4875,0.311008,3.3125,5.00
155,5.9125,7.4875,0.076342,5.9125,0.00
156,6.2250,7.4875,0.015733,6.2250,0.00
157,6.6125,7.4875,0.564776,6.6125,0.00
158,5.5125,7.4875,-0.529435,1.7625,7.50
159,7.2375,7.4875,0.354646,7.2375,0.00
160,6.2000,7.4875,0.378456,2.4500,7.50
161,6.5500,7.4875,-0.485052,5.3000,2.50
162,6.6250,7.4875,0.237870,5.3750,2.50
163,7.0125,7.4875,0.582579,5.7625,2.50
164,5.8375,7.4875,-0.096203,4.5875,2.50
165,5.5125,7.4875,0.393958,3.0125,5.00
166,6.9500,7.4875,-0.230221,5.7000,2.50
167,6.2500,7.4875,0.190683,6.2500,0.00
168,6.6375,7.4875,0.282493,6.6375,0.00
169,6.3750,7.4875,0.042191,2.6250,7.50
170,6.3500,7.4875,-0.082104,3.8500,5.00
171,7.0250,7.4875,0.223993,4.5250,5.00
172,6.3875,7.4875,0.642170,5.1375,2.50
173,6.9875,7.4875,0.415527,3.2375,7.50
174,6.0625,7.4875,0.089652,1.0625,10.00
175,6.9750,7.4875,0.830598,4.4750,5.00
176,6.7375,7.4875,0.928044,6.7375,0.00
177,6.0750,7.4875,0.434719,3.5750,5.00
178,7.1500,7.4875,0.515322,4.6500,5.00
179,7.6375,7.6375,0.459973,5.1375,5.00
180,6.9250,7.6375,-0.216040,5.6750,2.50
181,6.6000,7.6375,0.176056,5.3500,2.50
182,7.1625,7.6375,0.859460,7.1625,0.00
183,7.5875,7.6375,0.382078,7.5875,0.00
184,5.4250,7.6375,-0.526162,2.9250,5.00
185,6.3250,7.6375,0.267031,5.0750,2.50
186,7.4500,7.6375,0.476802,4.9500,5.00
187,7.2500,7.6375,1.418999,2.2500,10.00
188,7.0375,7.6375,0.024837,5.7875,2.50
189,6.9375,7.6375,0.462986,5.6875,2.50
190,6.3750,7.6375,1.052375,3.8750,5.00
191,6.8500,7.6375,0.365116,4.3500,5.00
192,7.2375,7.6375,1.719899,0.9875,12.50
193,7.4875,7.6375,0.212676,4.9875,5.00
194,7.9000,7.9000,1.459217,1.6500,12.50
195,6.8625,7.9000,2.237844,1.8625,10.00
196,7.3875,7.9000,1.061407,3.6375,7.50
197,6.8250,7.9000,1.112835,3.0750,7.50
198,7.2625,7.9000,-0.025957,4.7625,5.00
199,7.2125,7.9000,2.153351,4.7125,5.00
200,7.4125,7.9000,1.030939,6.1625,2.50
201,6.2875,7.9000,0.974413,2.5375,7.50
202,6.6250,7.9000,1.281928,2.8750,7.50
203,7.5500,7.9000,1.200458,3.8000,7.50
204,8.2750,8.2750,1.900157,4.5250,7.50
205,7.3250,8.2750,1.425325,4.8250,5.00
206,6.9250,8.2750,2.676447,3.1750,7.50
207,7.1000,8.2750,2.178309,-1.6500,17.50
208,6.7750,8.2750,0.579254,1.7750,10.00
