Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
104,5.4000,7.0375,0.013311,5.4000,2.50
105,6.1500,7.0375,-0.274783,6.1500,2.50
106,5.4000,7.0375,0.124208,5.4000,5.00
107,6.5750,7.0375,0.331659,6.5750,5.00
108,4.8625,7.0375,-0.189762,4.8625,2.50
109,6.4750,7.0375,-0.052611,6.4750,0.00
110,4.3375,7.0375,-0.317621,4.3375,5.00
111,6.7750,7.0375,-0.081357,6.7750,0.00
112,6.2750,7.0375,-0.127178,6.2750,5.00
113,6.5500,7.0375,0.181384,6.5500,0.00
114,5.9500,7.0375,0.057947,5.9500,2.50
115,6.3375,7.0375,-0.411654,6.3375,0.00
116,5.8375,7.0375,0.536412,5.8375,5.00
117,5.9500,7.0375,0.127358,5.9500,2.50
118,6.8625,7.0375,0.239818,6.8625,5.00
119,6.0500,7.0375,0.325059,6.0500,5.00
120,5.3125,7.0375,-0.121616,5.3125,7.50
121,6.0500,7.0375,-0.478638,6.0500,2.50
122,5.6625,7.0375,-0.001109,5.6625,0.00
123,5.5500,7.0375,-0.074673,5.5500,7.50
124,6.7500,7.0375,0.522319,6.7500,2.50
125,5.5000,7.0375,0.150887,5.5000,5.00
126,6.1875,7.0375,0.244467,6.1875,0.00
127,6.4500,7.0375,0.355925,6.4500,5.00
128,6.5875,7.0375,0.880092,6.5875,0.00
129,6.1375,7.0375,0.110366,6.1375,5.00
130,6.1625,7.0375,0.267944,6.1625,12.50
131,6.4125,7.0375,-0.203998,6.4125,0.00
132,6.7750,7.0375,1.044038,6.7750,7.50
133,6.8000,7.0375,1.245966,6.8000,2.50
134,7.1375,7.1375,0.585656,7.1375,7.50
135,6.0125,7.1375,1.443964,6.0125,5.00
136,6.1625,7.1375,0.660923,6.1625,2.50
137,6.4250,7.1375,0.906567,6.4250,7.50
138,6.0875,7.1375,1.233337,6.0875,12.50
139,6.4750,7.1375,0.572453,6.4750,2.50
140,6.6000,7.1375,0.799727,6.6000,0.00
141,6.3750,7.1375,0.828915,6.3750,7.50
142,6.4875,7.1375,0.542718,6.4875,5.00
